state_fid,beta,,0,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,14,,,15,,,16,,,17,,,18,,,19,
0.25,0,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta
0.187728667,0.34,,0.176023449,0.33,,0.129816364,0.33,,0.232152504,0.33,,0.231952889,0.33,,0.262825061,0.33,,0.289046458,0.33,,0.160319271,0.33,,0.206597421,0.33,,0.166720972,0.33,,0.155145233,0.33,,0.129731915,0.33,,0.188488144,0.33,,0.212292688,0.33,,0.17654552,0.33,,0.136601617,0.33,,0.250603288,0.33,,0.275448569,0.33,,0.255688813,0.33,,0.201010154,0.33,,0.205313342,0.33
0.198254707,0.35,,0.124999246,0.34,,0.125646626,0.34,,0.170572182,0.34,,0.215385531,0.34,,0.268007145,0.34,,0.192202676,0.34,,0.16778178,0.34,,0.206438543,0.34,,0.279914077,0.34,,0.132503573,0.34,,0.158643735,0.34,,0.177250375,0.34,,0.199615631,0.34,,0.168065605,0.34,,0.157694789,0.34,,0.156101585,0.34,,0.206028014,0.34,,0.25670876,0.34,,0.261363789,0.34,,0.129649677,0.34
0.206758821,0.36,,0.245400538,0.35,,0.122723885,0.35,,0.155151991,0.35,,0.156860067,0.35,,0.205431389,0.35,,0.225039981,0.35,,0.161598834,0.35,,0.238295112,0.35,,0.1773618,0.35,,0.241748883,0.35,,0.138624275,0.35,,0.279588832,0.35,,0.283158018,0.35,,0.1354397,0.35,,0.240230661,0.35,,0.171926642,0.35,,0.162936879,0.35,,0.260087915,0.35,,0.21850831,0.35,,0.144980431,0.35
0.201296852,0.37,,0.196995439,0.36,,0.250868073,0.36,,0.23425189,0.36,,0.258484568,0.36,,0.251846392,0.36,,0.210295732,0.36,,0.13783769,0.36,,0.214869838,0.36,,0.18310043,0.36,,0.122940823,0.36,,0.198482597,0.36,,0.267361376,0.36,,0.263678314,0.36,,0.138310872,0.36,,0.153822727,0.36,,0.177786565,0.36,,0.120035458,0.36,,0.191877443,0.36,,0.27779573,0.36,,0.284534455,0.36
0.193202695,0.38,,0.26409639,0.37,,0.140212425,0.37,,0.274256301,0.37,,0.270793858,0.37,,0.130312963,0.37,,0.220001853,0.37,,0.280818542,0.37,,0.165122683,0.37,,0.176451845,0.37,,0.163287815,0.37,,0.218119474,0.37,,0.140752471,0.37,,0.143226849,0.37,,0.169234127,0.37,,0.246341011,0.37,,0.162604914,0.37,,0.134720088,0.37,,0.266487239,0.37,,0.265578547,0.37,,0.193517638,0.37
0.191988858,0.39,,0.16370703,0.38,,0.282400268,0.38,,0.197396105,0.38,,0.206960006,0.38,,0.193936416,0.38,,0.233848202,0.38,,0.180500883,0.38,,0.131965181,0.38,,0.268624222,0.38,,0.12029957,0.38,,0.283817204,0.38,,0.159715131,0.38,,0.282298117,0.38,,0.122961133,0.38,,0.186367318,0.38,,0.141548461,0.38,,0.160579845,0.38,,0.177406933,0.38,,0.247152446,0.38,,0.122569424,0.38
0.179859776,0.4,,0.169938457,0.39,,0.195144723,0.39,,0.166581549,0.39,,0.127234147,0.39,,0.242643735,0.39,,0.151946968,0.39,,0.283736283,0.39,,0.134570141,0.39,,0.12397828,0.39,,0.276239032,0.39,,0.175863912,0.39,,0.191505989,0.39,,0.272437319,0.39,,0.123177715,0.39,,0.198829405,0.39,,0.140237395,0.39,,0.228116938,0.39,,0.148043542,0.39,,0.276308633,0.39,,0.213242997,0.39
0.177538988,0.41,,0.247513077,0.4,,0.109069771,0.4,,0.145315461,0.4,,0.109715323,0.4,,0.278792325,0.4,,0.210610278,0.4,,0.2719946,0.4,,0.142617997,0.4,,0.181501863,0.4,,0.193206942,0.4,,0.112952202,0.4,,0.14018092,0.4,,0.273355172,0.4,,0.178777535,0.4,,0.128021559,0.4,,0.226923153,0.4,,0.116968276,0.4,,0.116763089,0.4,,0.131202442,0.4,,0.281713534,0.4
0.191662705,0.42,,0.115245596,0.41,,0.217462728,0.41,,0.241038148,0.41,,0.191626264,0.41,,0.145545923,0.41,,0.159521962,0.41,,0.16101202,0.41,,0.193813202,0.41,,0.242398123,0.41,,0.235017644,0.41,,0.103562493,0.41,,0.103731027,0.41,,0.212374507,0.41,,0.249795454,0.41,,0.182442219,0.41,,0.100596375,0.41,,0.16372306,0.41,,0.243975309,0.41,,0.172788024,0.41,,0.11510968,0.41
0.20157196,0.43,,0.236837583,0.42,,0.205789444,0.42,,0.27643617,0.42,,0.117673687,0.42,,0.139699766,0.42,,0.115336142,0.42,,0.169967013,0.42,,0.183162501,0.42,,0.152703546,0.42,,0.189825315,0.42,,0.251508167,0.42,,0.175237401,0.42,,0.183915224,0.42,,0.119802324,0.42,,0.224127465,0.42,,0.221611473,0.42,,0.19545071,0.42,,0.277441842,0.42,,0.139732778,0.42,,0.256995546,0.42
